agg_level_pseo,inst_level,institution,degree_level,cip_level,cipcode,grad_cohort,grad_cohort_years,geo_level,geography,ind_level,industry,y1_p25_earnings,y1_p50_earnings,y1_p75_earnings,y1_grads_earn,y5_p25_earnings,y5_p50_earnings,y5_p75_earnings,y5_grads_earn,y10_p25_earnings,y10_p50_earnings,y10_p75_earnings,y10_grads_earn,y1_ipeds_count,y5_ipeds_count,y10_ipeds_count,status_y1_earnings,status_y1_grads_earn,status_y5_earnings,status_y5_grads_earn,status_y10_earnings,status_y10_grads_earn,status_y1_ipeds_count,status_y5_ipeds_count,status_y10_ipeds_count
46,I,00105200,18,2,13,2016,5,N,00,A,00,,,,,,,,,,,,,21.0,,,5,5,-1,-1,-1,-1,1,3,3
46,I,00105200,05,2,11,2019,3,N,00,A,00,44978.0,66779.0,80918.0,136.0,,,,,,,,,183.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105200,05,2,13,2019,3,N,00,A,00,24661.0,34231.0,45959.0,369.0,,,,,,,,,558.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105500,05,2,11,2004,3,N,00,A,00,,,,,,,,,,,,,113.0,113.0,113.0,5,5,5,5,5,5,1,1,1
46,I,00105500,05,2,13,2004,3,N,00,A,00,,,,,,,,,,,,,61.0,61.0,61.0,5,5,5,5,5,5,1,1,1
46,I,00105500,07,2,11,2006,5,N,00,A,00,67746.0,84962.0,102715.0,112.0,93187.0,113449.0,135871.0,132.0,124484.0,147475.0,180306.0,121.0,179.0,179.0,179.0,1,1,1,1,1,1,1,1,1
46,I,00105500,17,2,11,2006,5,N,00,A,00,,,,,,,,,,,,,18.0,18.0,18.0,5,5,5,5,5,5,1,1,1
46,I,00105500,05,2,11,2007,3,N,00,A,00,64085.0,76958.0,93908.0,68.0,71728.0,89578.0,106266.0,70.0,79787.0,111405.0,155800.0,72.0,87.0,87.0,87.0,1,1,1,1,1,1,1,1,1
46,I,00105500,05,2,13,2007,3,N,00,A,00,24038.0,30304.0,43384.0,47.0,34596.0,55307.0,65759.0,51.0,50881.0,60590.0,67004.0,43.0,81.0,81.0,81.0,1,1,1,1,1,1,1,1,1
46,I,00105500,05,2,11,2010,3,N,00,A,00,56029.0,69466.0,81671.0,69.0,75548.0,93834.0,112456.0,73.0,95830.0,119554.0,151716.0,72.0,92.0,92.0,92.0,1,1,1,1,1,1,1,1,1
46,I,00105500,05,2,13,2010,3,N,00,A,00,,,,,47802.0,56877.0,66891.0,42.0,50539.0,60095.0,66251.0,35.0,67.0,67.0,67.0,5,5,1,1,1,1,1,1,1
46,I,00105500,07,2,11,2011,5,N,00,A,00,70342.0,84962.0,115431.0,137.0,106123.0,128316.0,164191.0,137.0,,,,,166.0,166.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105500,17,2,11,2011,5,N,00,A,00,,,,,,,,,,,,,15.0,15.0,,5,5,5,5,-1,-1,1,1,3
46,I,00105500,07,2,13,2011,5,N,00,A,00,,,,,,,,,,,,,0.0,0.0,,5,5,5,5,-1,-1,1,1,3
46,I,00105500,05,2,11,2013,3,N,00,A,00,57208.0,69441.0,75586.0,86.0,84083.0,95943.0,114034.0,88.0,,,,,94.0,94.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105500,05,2,13,2013,3,N,00,A,00,32272.0,43317.0,49490.0,59.0,50995.0,54168.0,57703.0,51.0,,,,,63.0,63.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105500,05,2,11,2016,3,N,00,A,00,58093.0,70298.0,82929.0,189.0,84238.0,97081.0,121451.0,195.0,,,,,207.0,207.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105500,07,2,11,2016,5,N,00,A,00,69457.0,92872.0,119683.0,255.0,,,,,,,,,339.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105500,17,2,11,2016,5,N,00,A,00,,,,,,,,,,,,,19.0,,,5,5,-1,-1,-1,-1,1,3,3
46,I,00105500,05,2,13,2016,3,N,00,A,00,27886.0,43588.0,49677.0,74.0,48984.0,55181.0,63874.0,74.0,,,,,101.0,101.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105500,07,2,13,2016,5,N,00,A,00,52379.0,59196.0,64675.0,134.0,,,,,,,,,148.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105500,05,2,11,2019,3,N,00,A,00,64326.0,78356.0,87855.0,264.0,,,,,,,,,315.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105500,05,2,13,2019,3,N,00,A,00,31905.0,41695.0,48487.0,64.0,,,,,,,,,75.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00108100,05,2,11,2001,3,N,00,A,00,,,,,,,,,,,,,,,,5,5,5,5,5,5,3,3,3
46,I,00108100,07,2,11,2001,5,N,00,A,00,,,,,,,,,,,,,,,,5,5,5,5,5,5,3,3,3
46,I,00108100,17,2,11,2001,5,N,00,A,00,,,,,,,,,,,,,,,,5,5,5,5,5,5,3,3,3
46,I,00108100,05,2,13,2001,3,N,00,A,00,,,,,,,,,,,,,,,,5,5,5,5,5,5,3,3,3
46,I,00108100,07,2,13,2001,5,N,00,A,00,,,,,,,,,,,,,,,,5,5,5,5,5,5,3,3,3
46,I,00108100,17,2,13,2001,5,N,00,A,00,,,,,,,,,,,,,,,,5,5,5,5,5,5,3,3,3
46,I,00108100,05,2,11,2004,3,N,00,A,00,54940.0,72674.0,87252.0,511.0,81476.0,99258.0,120812.0,532.0,102199.0,130050.0,168990.0,515.0,375.0,375.0,375.0,1,1,1,1,1,1,4,4,4
46,I,00108100,05,2,13,2004,3,N,00,A,00,38711.0,49954.0,56406.0,3001.0,48389.0,56576.0,63980.0,2765.0,51285.0,59635.0,70200.0,2514.0,1901.0,1901.0,1901.0,1,1,1,1,1,1,1,1,1
46,I,00108100,07,2,11,2006,5,N,00,A,00,78977.0,102218.0,128254.0,146.0,117600.0,145926.0,186072.0,151.0,152089.0,203496.0,299047.0,367.0,408.0,408.0,408.0,1,1,1,1,1,1,1,1,1
46,I,00108100,17,2,11,2006,5,N,00,A,00,,,,,,,,,174257.0,244555.0,331133.0,73.0,96.0,96.0,96.0,5,5,5,5,1,1,1,1,1
46,I,00108100,07,2,13,2006,5,N,00,A,00,42999.0,54723.0,65611.0,1699.0,50553.0,62477.0,76612.0,1666.0,62681.0,74707.0,94346.0,2954.0,3557.0,3557.0,3557.0,1,1,1,1,1,1,1,1,1
46,I,00108100,17,2,13,2006,5,N,00,A,00,75224.0,93268.0,117477.0,118.0,83805.0,105332.0,135371.0,126.0,95044.0,119349.0,155413.0,256.0,409.0,409.0,409.0,1,1,1,1,1,1,1,1,1
46,I,00108100,05,2,11,2007,3,N,00,A,00,45480.0,60837.0,78147.0,138.0,68098.0,86367.0,110151.0,146.0,92987.0,130533.0,183709.0,149.0,229.0,229.0,229.0,1,1,1,1,1,1,4,4,4
46,I,00108100,05,2,13,2007,3,N,00,A,00,31032.0,41897.0,52211.0,749.0,42845.0,51576.0,61412.0,787.0,50184.0,62850.0,75495.0,719.0,2844.0,2844.0,2844.0,1,1,1,1,1,1,1,1,1
46,I,00108100,05,2,11,2010,3,N,00,A,00,48579.0,64986.0,82863.0,605.0,75617.0,99007.0,126703.0,654.0,99316.0,138011.0,192111.0,635.0,707.0,707.0,707.0,1,1,1,1,1,1,1,1,1
46,I,00108100,05,2,13,2010,3,N,00,A,00,32644.0,42964.0,51133.0,2315.0,43319.0,52972.0,63167.0,2275.0,54129.0,64746.0,76085.0,2086.0,2986.0,2986.0,2986.0,1,1,1,1,1,1,1,1,1
46,I,00108100,07,2,11,2011,5,N,00,A,00,93234.0,118783.0,138838.0,699.0,138470.0,180159.0,243230.0,691.0,,,,,774.0,774.0,,1,1,1,1,-1,-1,1,1,3
46,I,00108100,17,2,11,2011,5,N,00,A,00,129786.0,153287.0,193461.0,86.0,160199.0,224855.0,346927.0,89.0,,,,,101.0,101.0,,1,1,1,1,-1,-1,1,1,3
46,I,00108100,07,2,13,2011,5,N,00,A,00,43357.0,54814.0,67209.0,4033.0,55854.0,67784.0,86348.0,3908.0,,,,,2769.0,2769.0,,1,1,1,1,-1,-1,1,1,3
46,I,00108100,17,2,13,2011,5,N,00,A,00,70195.0,91284.0,111258.0,333.0,84329.0,106047.0,137015.0,327.0,,,,,358.0,358.0,,1,1,1,1,-1,-1,1,1,3
46,I,00108100,05,2,11,2013,3,N,00,A,00,56655.0,71341.0,89697.0,840.0,86042.0,107611.0,135774.0,864.0,,,,,894.0,894.0,,1,1,1,1,-1,-1,4,4,3
46,I,00108100,05,2,13,2013,3,N,00,A,00,36972.0,46290.0,55141.0,1857.0,50025.0,58689.0,66628.0,1800.0,,,,,1393.0,1393.0,,1,1,1,1,-1,-1,1,1,3
46,I,00108100,05,2,11,2016,3,N,00,A,00,54563.0,74232.0,95343.0,1332.0,83620.0,108666.0,140151.0,1383.0,,,,,1343.0,1343.0,,1,1,1,1,-1,-1,4,4,3
46,I,00108100,07,2,11,2016,5,N,00,A,00,104259.0,136075.0,165933.0,1342.0,,,,,,,,,1504.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00108100,17,2,11,2016,5,N,00,A,00,140587.0,190010.0,263549.0,99.0,,,,,,,,,131.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00108100,05,2,13,2016,3,N,00,A,00,38435.0,48438.0,58216.0,1639.0,48985.0,59179.0,67847.0,1559.0,,,,,1299.0,1299.0,,1,1,1,1,-1,-1,1,1,3
46,I,00108100,07,2,13,2016,5,N,00,A,00,45368.0,58823.0,72318.0,6223.0,,,,,,,,,1216.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00108100,17,2,13,2016,5,N,00,A,00,69617.0,89231.0,110386.0,239.0,,,,,,,,,126.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00108100,05,2,11,2019,3,N,00,A,00,54238.0,74134.0,91009.0,1933.0,,,,,,,,,2079.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00108100,05,2,13,2019,3,N,00,A,00,40188.0,52355.0,59450.0,1827.0,,,,,,,,,1633.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00108200,05,2,11,2001,3,N,00,A,00,,,,,,,,,,,,,,,,5,5,5,5,5,5,3,3,3
46,I,00108200,05,2,13,2001,3,N,00,A,00,,,,,,,,,,,,,,,,5,5,5,5,5,5,3,3,3
46,I,00108200,07,2,13,2001,5,N,00,A,00,,,,,,,,,,,,,,,,5,5,5,5,5,5,3,3,3
46,I,00108200,17,2,13,2001,5,N,00,A,00,,,,,,,,,,,,,,,,5,5,5,5,5,5,3,3,3
